,관측일,국내 지점번호,일 평균기온,최고기온,최저기온,일 평균 전운량,일조합,일 강수량
231,20090820,288,27.5,32.4,22.8,-9.0,3.7,0.1
232,20090821,288,27.8,34.2,20.6,-9.0,8.4,2.0
233,20090822,288,25.6,34.6,17.6,-9.0,12.0,-9.0
234,20090823,288,25.7,33.6,20.8,-9.0,8.1,-9.0
235,20090824,288,23.6,31.4,17.2,-9.0,7.4,-9.0
236,20090825,288,23.8,30.2,19.6,-9.0,4.0,-9.0
237,20090826,288,24.5,31.2,18.6,-9.0,9.7,-9.0
238,20090827,288,24.9,28.7,20.4,-9.0,0.8,-9.0
239,20090828,288,27.2,34.1,22.2,-9.0,7.7,9.0
240,20090829,288,23.9,30.5,17.7,-9.0,6.0,-9.0
241,20090830,288,22.4,24.9,20.7,-9.0,0.0,0.4
242,20090831,288,22.9,26.4,20.9,-9.0,0.8,-9.0
243,20090901,288,22.7,29.1,15.8,-9.0,10.9,-9.0
244,20090902,288,22.5,29.8,16.4,-9.0,10.5,-9.0
245,20090903,288,22.8,31.0,15.1,-9.0,9.4,-9.0
246,20090904,288,23.1,27.8,19.2,-9.0,0.4,-9.0
247,20090905,288,23.9,31.6,17.8,-9.0,8.8,-9.0
248,20090906,288,24.9,33.8,17.8,-9.0,11.1,-9.0
249,20090907,288,25.9,32.3,20.0,-9.0,7.1,-9.0
250,20090908,288,24.1,27.9,21.5,-9.0,3.9,-9.0
251,20090909,288,23.2,29.1,19.4,-9.0,5.5,-9.0
252,20090910,288,23.2,30.4,16.5,-9.0,9.6,-9.0
253,20090911,288,23.0,28.5,18.3,-9.0,3.7,0.5
254,20090912,288,21.1,27.9,16.7,-9.0,4.9,0.5
255,20090913,288,20.7,29.8,13.3,-9.0,11.0,-9.0
256,20090914,288,20.1,24.7,16.1,-9.0,0.1,0.5
257,20090915,288,21.5,29.8,14.8,-9.0,10.4,0.0
258,20090916,288,21.9,29.9,13.7,-9.0,9.6,-9.0
259,20090917,288,21.7,29.0,16.8,-9.0,9.2,-9.0
260,20090918,288,22.7,31.8,14.7,-9.0,11.0,-9.0
261,20090919,288,21.9,26.5,19.1,-9.0,8.7,-9.0
262,20090920,288,21.1,28.8,14.0,-9.0,10.5,-9.0
263,20090921,288,20.0,24.1,17.0,-9.0,0.0,0.4
264,20090922,288,22.1,28.2,16.8,-9.0,4.8,-9.0
265,20090923,288,21.0,27.0,18.7,-9.0,4.1,3.0
266,20090924,288,23.8,30.3,18.7,-9.0,6.5,-9.0
267,20090925,288,23.0,28.0,19.3,-9.0,0.5,-9.0
268,20090926,288,23.1,29.0,18.0,-9.0,7.1,-9.0
269,20090927,288,19.8,21.9,18.0,-9.0,0.0,17.0
270,20090928,288,20.3,22.4,18.1,-9.0,0.0,0.5
271,20090929,288,21.2,26.8,17.5,-9.0,1.0,-9.0
272,20090930,288,20.1,25.8,15.4,-9.0,0.0,-9.0
273,20091001,288,21.1,29.3,13.2,-9.0,7.4,10.5
274,20091002,288,21.3,27.3,17.2,-9.0,8.3,32.5
275,20091003,288,17.9,26.4,12.3,-9.0,10.6,-9.0
276,20091004,288,17.5,26.7,9.5,-9.0,9.1,-9.0
277,20091005,288,16.0,25.2,9.5,-9.0,9.9,-9.0
278,20091006,288,15.9,24.7,8.3,-9.0,4.4,-9.0
279,20091007,288,19.3,23.9,13.2,-9.0,0.2,-9.0
280,20091008,288,17.3,23.2,12.0,-9.0,4.7,-9.0
281,20091009,288,15.8,23.3,8.2,-9.0,10.2,-9.0
282,20091010,288,15.4,24.3,8.5,-9.0,9.0,-9.0
283,20091011,288,15.6,24.1,8.1,-9.0,9.3,-9.0
284,20091012,288,15.5,24.3,9.2,-9.0,3.8,-9.0
285,20091013,288,15.7,24.4,7.9,-9.0,9.6,-9.0
286,20091014,288,13.8,19.1,9.1,-9.0,5.6,2.5
287,20091015,288,13.5,23.8,6.7,-9.0,9.0,-9.0
288,20091016,288,13.9,22.9,5.7,-9.0,9.6,-9.0
289,20091017,288,15.2,23.0,9.2,-9.0,8.2,4.0
290,20091018,288,14.0,22.2,6.8,-9.0,9.7,-9.0
291,20091019,288,14.9,23.9,7.2,-9.0,7.4,-9.0
292,20091020,288,12.3,20.3,6.4,-9.0,9.7,-9.0
293,20091021,288,12.8,23.7,3.9,-9.0,9.4,-9.0
294,20091022,288,12.8,23.3,5.6,-9.0,8.4,-9.0
295,20091023,288,13.5,24.1,4.9,-9.0,8.9,-9.0
296,20091024,288,15.3,23.8,6.6,-9.0,7.4,-9.0
297,20091025,288,15.9,23.5,8.2,-9.0,8.6,-9.0
298,20091026,288,15.3,24.2,9.0,-9.0,8.9,-9.0
299,20091027,288,13.7,23.7,6.9,-9.0,7.8,-9.0
300,20091028,288,14.4,23.7,6.2,-9.0,7.9,-9.0
301,20091029,288,16.0,23.5,11.1,-9.0,3.1,-9.0
302,20091030,288,16.3,24.6,11.1,-9.0,5.5,-9.0
303,20091031,288,18.3,25.0,9.1,-9.0,7.2,-9.0
304,20091101,288,15.7,22.0,6.3,-9.0,3.0,0.5
305,20091102,288,6.5,11.6,1.8,-9.0,9.4,-9.0
306,20091103,288,5.1,13.8,-2.6,-9.0,9.4,-9.0
307,20091104,288,7.9,16.3,-1.6,-9.0,6.1,-9.0
308,20091105,288,12.5,21.5,5.5,-9.0,5.0,-9.0
309,20091106,288,13.9,22.9,5.9,-9.0,6.1,-9.0
310,20091107,288,16.3,25.3,9.3,-9.0,5.2,-9.0
311,20091108,288,17.2,22.0,13.3,-9.0,0.0,14.5
312,20091109,288,18.2,22.8,15.1,-9.0,0.9,0.2
313,20091110,288,15.5,17.4,13.9,-9.0,0.0,3.0
314,20091111,288,11.7,14.2,9.8,-9.0,0.0,-9.0
315,20091112,288,11.6,14.8,10.3,-9.0,1.0,-9.0
316,20091113,288,13.0,14.4,12.0,-9.0,0.0,5.0
317,20091114,288,10.6,16.8,2.5,-9.0,7.9,-9.0
318,20091115,288,5.1,9.7,0.9,-9.0,7.3,-9.0
319,20091116,288,4.4,8.1,2.1,-9.0,3.1,-9.0
320,20091117,288,3.7,8.1,0.8,-9.0,2.8,-9.0
321,20091118,288,2.3,9.3,-3.3,-9.0,8.8,-9.0
322,20091119,288,4.4,11.3,-0.8,-9.0,7.8,-9.0
323,20091120,288,3.4,10.8,-1.8,-9.0,6.0,-9.0
324,20091121,288,3.1,10.6,-1.7,-9.0,8.8,-9.0
325,20091122,288,0.9,11.1,-5.1,-9.0,6.2,-9.0
326,20091123,288,3.7,15.6,-4.2,-9.0,8.7,-9.0
327,20091124,288,5.1,15.4,-2.4,-9.0,8.3,-9.0
328,20091125,288,5.2,15.8,-2.3,-9.0,6.0,-9.0
329,20091126,288,6.8,18.2,-0.7,-9.0,8.6,-9.0
330,20091127,288,9.1,17.7,3.8,-9.0,4.7,-9.0
331,20091128,288,8.0,15.3,1.1,-9.0,7.7,-9.0
332,20091129,288,8.1,10.8,5.1,-9.0,0.0,13.0
333,20091130,288,6.2,11.1,1.6,-9.0,1.6,1.5
334,20091201,288,4.8,12.4,-0.9,-9.0,8.3,-9.0
335,20091202,288,3.8,12.1,-1.9,-9.0,5.6,-9.0
336,20091203,288,5.9,13.1,0.2,-9.0,7.1,-9.0
337,20091204,288,5.0,13.1,-2.0,-9.0,8.4,-9.0
338,20091205,288,5.2,9.1,0.6,-9.0,6.0,1.5
339,20091206,288,1.1,6.2,-3.2,-9.0,8.5,-9.0
340,20091207,288,0.8,10.8,-6.1,-9.0,8.5,-9.0
341,20091208,288,3.3,12.3,-5.1,-9.0,6.3,-9.0
342,20091209,288,5.0,10.0,-0.1,-9.0,0.0,0.5
343,20091210,288,8.4,10.2,5.6,-9.0,0.0,6.5
344,20091211,288,11.5,17.1,7.3,-9.0,3.0,9.5
345,20091212,288,9.3,15.2,4.3,-9.0,8.3,-9.0
346,20091213,288,5.4,13.2,-0.1,-9.0,2.8,-9.0
347,20091214,288,3.1,9.2,-3.4,-9.0,7.9,-9.0
348,20091215,288,1.6,4.0,-0.4,-9.0,0.4,-9.0
349,20091216,288,-2.7,1.6,-6.2,-9.0,5.8,-9.0
350,20091217,288,-2.9,3.2,-8.5,-9.0,8.2,-9.0
351,20091218,288,-3.6,1.9,-8.6,-9.0,8.2,-9.0
352,20091219,288,-3.0,3.7,-9.2,-9.0,8.2,-9.0
353,20091220,288,-1.6,5.0,-8.1,-9.0,6.2,-9.0
354,20091221,288,-2.0,5.2,-6.6,-9.0,8.3,-9.0
355,20091222,288,-1.0,10.6,-8.7,-9.0,8.2,-9.0
356,20091223,288,2.9,13.0,-3.5,-9.0,7.6,0.3
357,20091224,288,3.3,12.2,-2.1,-9.0,5.0,-9.0
358,20091225,288,4.7,12.1,-1.7,-9.0,1.3,-9.0
359,20091226,288,0.0,5.1,-4.5,-9.0,8.4,-9.0
360,20091227,288,-1.0,7.0,-8.2,-9.0,5.6,-9.0
361,20091228,288,-2.5,3.5,-7.2,-9.0,8.4,-9.0
362,20091229,288,-2.3,6.0,-9.8,-9.0,8.2,-9.0
363,20091230,288,0.4,6.8,-4.4,-9.0,7.4,-9.0
364,20091231,288,-4.2,-0.1,-8.9,-9.0,8.4,-9.0
365,20100101,288,-4.5,3.0,-10.1,-9.0,8.4,-9.0
366,20100102,288,-0.1,7.7,-7.9,-9.0,3.7,-9.0
367,20100103,288,-0.9,5.1,-6.5,-9.0,8.5,-9.0
368,20100104,288,0.1,5.4,-3.8,-9.0,2.0,0.5
369,20100105,288,-3.0,1.6,-8.1,-9.0,8.4,-9.0
370,20100106,288,-5.1,0.9,-11.1,-9.0,8.5,-9.0
371,20100107,288,-4.2,1.8,-10.1,-9.0,8.5,-9.0
372,20100108,288,-4.0,4.9,-10.6,-9.0,8.5,-9.0
373,20100109,288,-1.0,6.1,-8.2,-9.0,4.5,-9.0
374,20100110,288,0.7,4.5,-3.6,-9.0,0.2,-9.0
375,20100111,288,0.6,5.7,-4.2,-9.0,6.4,-9.0
376,20100112,288,-2.7,0.8,-7.2,-9.0,5.0,-9.0
377,20100113,288,-5.5,-1.1,-9.5,-9.0,8.7,-9.0
378,20100114,288,-5.7,3.1,-12.2,-9.0,8.2,-9.0
379,20100115,288,-1.0,6.6,-8.4,-9.0,7.5,-9.0
380,20100116,288,-2.7,7.8,-10.0,-9.0,8.7,-9.0
381,20100117,288,-2.0,9.7,-10.6,-9.0,8.7,-9.0
382,20100118,288,-0.9,11.6,-8.9,-9.0,7.5,-9.0
383,20100119,288,2.6,12.4,-7.6,-9.0,6.0,-9.0
384,20100120,288,9.8,16.4,5.8,-9.0,0.0,16.5
385,20100121,288,6.7,11.3,-1.0,-9.0,7.2,-9.0
386,20100122,288,-1.5,4.2,-5.7,-9.0,8.8,-9.0
387,20100123,288,-1.6,4.6,-6.1,-9.0,8.8,-9.0
388,20100124,288,-0.4,8.5,-7.1,-9.0,8.9,-9.0
389,20100125,288,1.6,9.2,-3.6,-9.0,8.5,-9.0
390,20100126,288,-1.5,7.3,-7.7,-9.0,8.9,-9.0
391,20100127,288,1.4,8.3,-7.6,-9.0,4.3,10.0
392,20100128,288,4.7,11.4,-0.5,-9.0,7.5,-9.0
393,20100129,288,1.2,8.2,-4.7,-9.0,9.0,-9.0
394,20100130,288,2.0,8.3,-5.9,-9.0,5.7,-9.0
395,20100131,288,5.0,13.1,0.3,-9.0,5.4,-9.0
396,20100201,288,3.6,9.1,0.2,-9.0,0.3,-9.0
397,20100202,288,0.1,3.9,-4.0,-9.0,3.6,-9.0
398,20100203,288,-2.7,3.4,-8.7,-9.0,9.2,-9.0
399,20100204,288,-1.9,4.3,-7.2,-9.0,9.2,-9.0
400,20100205,288,-1.3,7.2,-8.1,-9.0,9.1,-9.0
401,20100206,288,-0.8,8.1,-6.2,-9.0,9.3,-9.0
